NO,식품종류,식품명,상세분류,1회제공량,kcal,단백질(g),지방(g),탄수화물(g)
13916,가공식품,프루팁스 트로피칼 믹스,사탕,11.0,40,0,0,10
13917,가공식품,초이스엘 시원한 쿨민트 캔디,사탕,100.0,395,0,0,99
13918,가공식품,명작 복분자 13%,과실주,100.0,105,1,0,7
13919,가공식품,두부봉 치즈,가공두부,180.0,270,15,15,20
13920,가공식품,두부봉,가공두부,180.0,275,14,16,20
13921,가공식품,행복한콩 단단한 부침용 두부,두부,100.0,85,7,5,2
13922,가공식품,찌개용 두부,두부,200.0,160,17,9,3
13923,가공식품,국산콩 두부 두모,두부,100.0,80,12,3.8,1
13924,가공식품,바른콩 진한 두부,두부,100.0,90,7,6,2
13925,가공식품,국산콩두부 찌개용,두부,100.0,70,6,3.9,3
13926,가공식품,국산콩두부 부침용,두부,100.0,70,7,3.3,4
13927,가공식품,콩즙이 2배 진한 유기농두부 찌개용,두부,100.0,80,7,4.6,3
13928,가공식품,콩즙이 2배 진한 유기농두부 부침용,두부,100.0,75,9,3,3
13929,가공식품,국산콩 연두부,두부,100.0,45,4,2.3,2
13930,가공식품,클래식,가공두부,114.0,55,4,0.8,8
13931,가공식품,국산콩 느리게 만든 한모,두부,100.0,95,8,6,3
13932,가공식품,크고 단단한 두부,두부,100.0,90,8,6,2
13933,가공식품,홀스래디쉬,소스,100.0,435,1,41,15
13934,가공식품,끝까지 짜먹는 마요네즈,마요네즈,100.0,630,1,65,12
13935,가공식품,끝까지 짜먹는 토마토케찹,토마토케첩,100.0,120,2,0.7,27
13936,가공식품,끝까지 짜먹는 허니머스타드소스,소스,100.0,265,1,16,29
13937,가공식품,무지방 골드키위 샐러드소스,소스,100.0,50,0,0,13
13938,가공식품,참깨드레싱,소스,100.0,475,3,44,17
13939,가공식품,스테이크소스,소스,330.0,510,5,3.7,114
13940,가공식품,1000 아일랜드 드레싱,소스,100.0,350,1,33,13
13941,가공식품,허니머스타드,소스,100.0,285,1,19,27
13942,가공식품,무지방 파인애플 샐러드소스,소스,100.0,55,1,0,13
13943,가공식품,6년근 홍삼캔디ll,사탕,6.0,24,0,0,6
13944,가공식품,계란야채죽,즉석조리식품,285.0,175,4,1.5,36
13945,가공식품,단호박죽,즉석조리식품,285.0,205,2,0.8,47
13946,가공식품,통단팥죽,즉석조리식품,285.0,315,10,1,66
13947,가공식품,양반 단호박죽,즉석조리식품,285.0,165,2,0,39
13948,가공식품,양반 야채죽,즉석조리식품,295.5,155,3,2.2,31
13949,가공식품,후레쉬 오렌지,과/채음료,208.0,95,1,0,22
13950,가공식품,롯데 제주사랑감귤사랑,과/채음료,108.0,25,0,0,6
13951,가공식품,델몬트 스카시플러스 오렌지,과/채음료,117.0,40,1,0,9
13952,가공식품,복음자리 딸기잼,잼,100.0,290,1,0,72
13953,가공식품,복음자리 유기농 블루베리잼,잼,100.0,260,0.3,0.3,64
13954,가공식품,동원 딸기잼,잼,100.0,215,0,0,54
13955,가공식품,알뜰소시지,어육소시지,100.0,235,8,15,17
